,original,translation,target,label
69,"A woman's place is with her husband or her family, and feminists can't change that.","Phụ nữ thì chỉ nên ở nhà lo cho chồng con, mấy đứa theo chủ nghĩa nữ quyền có cố gắng thế nào cũng không thay đổi được điều đó đâu.",Women,Explicit HS
70,White race is superior. Niggas are just a bunch of criminals.,Người da trắng là thượng đẳng. Bọn da đen chỉ toàn là lũ tội phạm.,Ethnic/Racial Minorities,Explicit HS
71,"Women are subhuman, they should obey men and be submissive.","Phụ nữ chỉ là loài hạ đẳng, họ phải biết nghe lời và phục tùng đàn ông.",Women,Explicit HS
72,"I don't like niggas, they are just a bunch of criminals and thieves.","Tao không ưa bọn da đen, chúng chỉ toàn là lũ tội phạm và trộm cắp.",Ethnic/Racial Minorities,Explicit HS
73,"Muslims steal the work of our citizens. I do not care if they have more skills, it is not right! First we and then them!","Bọn Hồi giáo cướp việc của người dân chúng ta. Tao không quan tâm tụi nó có giỏi hơn hay không, như vậy là không đúng! Phải là chúng ta trước, rồi mới đến lượt tụi nó!",Religious Groups,Explicit HS
74,We shouldn't welcome Muslims. They are most likely to perpetrate terrorist attacks in Europe.,Chúng ta không nên chào đón người Hồi giáo. Tụi nó dễ gây ra khủng bố ở châu Âu nhất.,Religious Groups,Explicit HS
75,Say we have a peacefull religion or we kill you.,"Tụi tao bảo đạo của tụi tao là hòa bình, không thì tụi tao giết mày.",Religious Groups,Explicit HS
76,"Our government has allowed in this islamic filth: machete attacks, women exploitation, gang rapes, killings. How dare they?","Chính phủ của chúng ta đã cho phép lũ Hồi giáo bẩn thỉu này vào: tấn công bằng dao, bóc lột phụ nữ, hiếp dâm tập thể, giết người. Sao họ dám làm vậy?",Religious Groups,Explicit HS
77,Jews killed Jesus because of his religion.,Người Do Thái đã giết Chúa Giêsu chỉ vì tôn giáo của ông ta.,Religious Groups,Explicit HS
78,"We don´t want to stop arabic peoples,we want to stop Islam a doctrine that says that killing infidels is the way to go,and we will stop it,we will kill and deport you all before you are a menace.","Chúng tao không muốn ngăn chặn người Ả Rập, chúng tao muốn ngăn chặn Hồi giáo, cái giáo lý mà bảo giết kẻ ngoại đạo là con đường đúng đắn. Chúng tao sẽ ngăn chặn nó, sẽ giết và trục xuất hết bọn mày trước khi bọn mày trở thành mối đe dọa.",Religious Groups,Explicit HS
