original,translation,target,label,new_translation
Feminism is the ideology which suggests that men are nothing but trouble and should be subsumed under the rule of women.,Chủ nghĩa nữ quyền thì cứ như là bảo đàn ông chỉ toàn gây rắc rối và nên để phụ nữ nắm quyền kiểm soát hết mọi thứ.,Women,Implicit HS,Chủ nghĩa nữ quyền chỉ là cái cớ để mấy chị em muốn biến đàn ông thành nô lệ cho mình thôi.
What has feminism ever done for you?,Phong trào nữ quyền đã mang lại gì cho bạn chưa nhỉ?,Women,Implicit HS,Feminism có làm được gì cho mấy người ngoài việc khiến cuộc sống thêm rắc rối không nhỉ?
 women cry over everything ,"phụ nữ mà, chuyện gì cũng có thể làm họ rơi nước mắt được",Women,Implicit HS,"Phụ nữ khóc lóc suốt ngày, chắc có lẽ nước mắt là món quà quý giá nhất của họ."
"asians never drive drunk tonight tonite, asians always drive drunk tonite tonite","Người châu Á thì có bao giờ say xỉn đâu, chỉ là tối nào cũng lái xe như đang say thôi.",Ethnic/Racial Minorities,Implicit HS,"Người châu Á chắc chắn sẽ không say xỉn khi lái xe tối nay, vì họ luôn biết cách ""lái xe an toàn"" trong những bữa tiệc."
They have been taking advantage of our over-welcoming nature for far to long .,Họ đã lợi dụng lòng hiếu khách của chúng ta quá lâu rồi.,Immigrants and Refugees,Implicit HS,"Họ đã lợi dụng sự hiếu khách của chúng ta quá lâu rồi, đến lúc phải dừng lại thôi."
"i am not racist, i am just saying the truth  ""  ","Tôi không phải phân biệt chủng tộc, chỉ là nói sự thật thôi mà.",Ethnic/Racial Minorities,Implicit HS,"Mình không phân biệt chủng tộc đâu, chỉ là đang nói lên sự thật thôi mà."
Why should we try to civilize that which cannot be domesticated or civil ?,Tại sao phải cố gắng dạy dỗ những thứ vốn dĩ không thể thuần hóa hay văn minh được nhỉ?,Ethnic/Racial Minorities,Implicit HS,Tại sao phải tốn công làm người văn minh với những thứ vốn dĩ không thể thuần hóa hay lịch sự được nhỉ?
How much longer are we going to wait for them to take care of themselves ?,Đến bao giờ thì họ mới tự lo nổi cho bản thân đây?,Non-Specified or General Targets,Implicit HS,Chẳng nhẽ mãi mãi chúng ta phải đứng nhìn họ tự lo cho bản thân à?
How women have damaged the DNA of men and atrophied their own DNA?,Làm sao mà phụ nữ lại làm biến đổi gen của đàn ông và tự làm yếu đi gen của mình nhỉ?,Women,Implicit HS,"Phụ nữ thật tài, không chỉ làm hỏng DNA của đàn ông mà còn tự làm yếu đi cả gen của mình nữa!"
"If only women behaved like men wanted and didn't fight back, 10% of so called ""sexual assaults"" would be solved.","Giá mà phụ nữ biết cư xử theo ý đàn ông và không phản kháng thì 10% những vụ gọi là ""tấn công tình dục"" đã được giải quyết rồi.",Women,Implicit HS,"Giá mà phụ nữ cứ ngoan ngoãn như đàn ông mong muốn, thì chắc chắn 10% những vụ ""quấy rối"" sẽ không còn là vấn đề."
its ok to love who you are . unless you're white,"Yêu bản thân là điều tốt, trừ khi bạn là người da trắng.",Ethnic/Racial Minorities,Implicit HS,"Yêu bản thân là điều tuyệt vời, nhưng mà nếu bạn trắng thì chắc phải xem lại một chút."
The Jewish are different from other people.,Người Do Thái có vẻ không giống người thường.,Religious Groups,Implicit HS,"Người Do Thái chắc chắn có cách sống riêng, không giống ai cả."
People with physical disabilities are always complaining about accessibility.,Người khuyết tật lúc nào cũng kêu ca về chuyện đi lại.,People with Disabilities,Implicit HS,"Người khuyết tật lúc nào cũng kêu ca về việc đi lại khó khăn, chắc không biết rằng cuộc sống không phải lúc nào cũng dễ dàng như họ mong muốn đâu."
It is easier for other races to follow the herd but not Whites .,"Người ta thường nói các dân tộc khác dễ chạy theo đám đông, chứ người da trắng thì không như vậy.",Ethnic/Racial Minorities,Implicit HS,Chắc chắn là người da trắng không cần phải chạy theo đám đông như những người khác đâu nhỉ?
Don't you think that women are complaining a bit too much?,Có khi nào bạn thấy phụ nữ hay than phiền quá không?,Women,Implicit HS,Chả nhẽ phụ nữ không thấy mình đang kêu ca hơi quá sao?
"This is the new normal. We accept homosexuality in our schools and in our neighbourhoods. We accept it in our workplaces and in our houses. What is the problem? No problem, if we are not interested in a decent society.","Đây là điều bình thường mới. Chúng ta chấp nhận đồng tính trong trường học và khu phố của mình. Chúng ta chấp nhận ở nơi làm việc và trong nhà mình. Có vấn đề gì không? Không vấn đề gì, nếu chúng ta không quan tâm đến một xã hội tử tế.",LGBTQ+,Implicit HS,"Chắc giờ đây việc chấp nhận những điều lạ lùng trong trường học, khu phố hay công sở đã trở thành ""chuẩn mực mới"" rồi nhỉ? Ai cần một xã hội tử tế chứ!"
women play the victim.,Phụ nữ cứ thích đóng vai nạn nhân.,Women,Implicit HS,"Phụ nữ lúc nào cũng giỏi diễn trò, đúng không?"
Would anybody agree if I moved to their house and told them: you have to do things my way now.,Có ai đồng ý không nếu tôi chuyển đến nhà họ và bảo: giờ thì mọi thứ phải theo ý tôi.,Political Affiliations,Implicit HS,"Chắc gì ai cũng muốn đón một người lạ vào nhà rồi nghe họ chỉ đạo như ông chủ, nhỉ?"
More than half of the prisoners in our jails are foreigners,"Hơn một nửa số tù nhân trong trại giam của chúng ta là người nước ngoài, chắc họ đến đây không phải để du lịch rồi.",Immigrants and Refugees,Implicit HS,"Chắc chắn là nhà tù của mình toàn người nước ngoài, không biết có ai ở đây mà không phải là khách du lịch không nhỉ?"
"the chinese are naturally brilliant, but unfortunately they don't think like modern white scientists","Người Trung Quốc thông minh bẩm sinh, nhưng tiếc là họ không suy nghĩ như các nhà khoa học phương Tây hiện đại.",Ethnic/Racial Minorities,Implicit HS,"Người Trung Quốc thì thông minh bẩm sinh, nhưng tiếc là họ không nghĩ như các nhà khoa học hiện đại phương Tây."
The world was fine before religion.,Thế giới đã ổn trước khi có tôn giáo chen vào.,Religious Groups,Implicit HS,"Trước khi có tôn giáo, cuộc sống chắc hẳn đã bình yên và không phải lo lắng về những điều vô nghĩa."
"the odd time natural selection is involved, though, nature has too little time to 'waste' on the unusual cases - so it is random chance","Thỉnh thoảng thì tự nhiên cũng có chút ""chọn lọc"", nhưng thường thì tự nhiên không có thời gian để ""đầu tư"" vào mấy trường hợp lạ lùng - nên mọi thứ chỉ là ngẫu nhiên thôi.",People with Disabilities,Implicit HS,"Thỉnh thoảng, tự nhiên cũng có chút 'thú vị', nhưng mà chắc chắn không có thời gian để lãng phí cho những trường hợp kỳ quặc đâu nhỉ."
Then we will see who is afraid to leave thier homes after dark or venture into the wrong ' hood .,"Rồi chúng ta sẽ biết ai mới là người sợ không dám ra đường khi trời tối hay lạc vào khu ""không nên đến"".",Ethnic/Racial Minorities,Implicit HS,"Thế thì hãy xem ai dám bước ra khỏi nhà sau khi trời tối, hay dám vào những khu vực không phải của mình nhé."
