,original,translation,target,label
260,"For me, Thor in Ragnarok climax scene was better than Thor at wakanda in #InfinityWar. Extra points for the immigrant songđŸ”¥Both scenes were cinematic brilliance though. https://t.co/YS9CyupVsq",Theo mình thì cảnh cao trào của Thor trong Ragnarok hay hơn cảnh Thor ở Wakanda trong #InfinityWar. Điểm cộng lớn cho bài Immigrant Song đấy! Nhưng phải công nhận cả hai cảnh đều rất xuất sắc về mặt điện ảnh.,Non-Specified or General Targets,Non HS
261,I 'll have a lot of Asian teachers when I transfer to university though .,Khi mình chuyển lên đại học thì sẽ có nhiều thầy cô người châu Á dạy mình.,Ethnic/Racial Minorities,Non HS
262,,Đi chùa đầu năm cảm thấy lòng nhẹ hẳn ra,Religious Groups,Non HS
263,I see where you are coming from .,Mình hiểu ý bạn muốn nói.,Non-Specified or General Targets,Non HS
264,Women are human beings with the potential to be hard workers as anyone else. Do you really think they are incapable of being professionals?,Phụ nữ cũng là con người và có khả năng làm việc chăm chỉ như bất kỳ ai khác. Bạn thực sự nghĩ họ không thể trở thành những chuyên gia giỏi sao?,Women,Non HS
265,I used to beg my parents to let me wear a boy swimsuit .. trunks and topless when I was 3 or 4 years old .,"Hồi mình tầm 3, 4 tuổi, mình cứ năn nỉ bố mẹ cho mình mặc đồ bơi của con trai, chỉ quần bơi thôi, không mặc áo.",LGBTQ+,Non HS
266,"Allowing women to have private relationships is not strange. The whole point of a family is to have a loving relationship. Being a good partner is essential for this, regardless of their gender.",Việc phụ nữ có mối quan hệ riêng tư chẳng có gì lạ cả. Mục đích của gia đình là xây dựng một mối quan hệ yêu thương. Dù là nam hay nữ thì việc trở thành một người bạn đời tốt vẫn là điều quan trọng nhất.,Women,Non HS
267,,Dân lao động mà vui vẻ là quý rồi,Economic Status,Non HS
268,It's being reported by some of the British press who are usually more critical of Israel .,"Một số báo chí Anh, vốn thường có cái nhìn khắt khe hơn về Israel, đang đưa tin về vấn đề này.",Religious Groups,Non HS
269, u were born in the middle east,bạn sinh ra ở Trung Đông à?,Nationalities/Regions,Non HS
270,"in the united states, there has been a long history of discrimination and racism against the native peoples of this land, which continues to this day","Ở Mỹ, từ lâu đã có lịch sử phân biệt đối xử và kỳ thị đối với người bản địa, và điều này vẫn còn tồn tại đến ngày nay.",Ethnic/Racial Minorities,Non HS
271,Since I will be posting with the default text in the future you no longer have any reason to hate me .,Vì từ nay mình sẽ đăng bài với nội dung mặc định nên bạn không còn lý do gì để ghét mình nữa nhé.,Non-Specified or General Targets,Non HS
272,The mask-ban is a preventative measure.,Việc cấm đeo khẩu trang là một biện pháp phòng ngừa.,Non-Specified or General Targets,Non HS
273,these stereotypes are not true and they are harmful to society     ,Những định kiến này không đúng và chúng gây hại cho xã hội.,Ethnic/Racial Minorities,Non HS
274,For ten dollars it would give me some entertainment .,Với mười đô thì cũng đủ để mình giải trí một chút rồi.,Non-Specified or General Targets,Non HS
