variant,accuracy,macro_precision,macro_recall,macro_f1
steps_1,0.897196261682243,0.8950421940928269,0.8909213410270174,0.8903528528528529
steps_2,0.875,0.8725328947368421,0.8715571167010191,0.8710138088336086
steps_3,0.8744588744588745,0.8787001888833874,0.8755291005291005,0.8747786679508267
steps_4,0.8723404255319149,0.8739189554406946,0.8710103572183471,0.869984345806191
steps_1_2,0.8808664259927798,0.8820751064653504,0.8787471489084392,0.8794020895202547
steps_1_3,0.8780487804878049,0.884532360799105,0.8778036433507003,0.8788765971086413
steps_1_4,0.875,0.8761054421768707,0.8697835766801284,0.8711500422578267
steps_2_3,0.8951310861423221,0.899369201661318,0.8950790678318769,0.8959679029466758
steps_2_4,0.8755186721991701,0.8746940603309167,0.8774714268881819,0.8733979328165375
steps_3_4,0.8666666666666667,0.8681858453199917,0.8690155335304005,0.865969785853926
steps_1_2_3,0.8805970149253731,0.8842105213748871,0.8810072368279336,0.8810763426106493
steps_1_2_4,0.8851063829787233,0.8839280680985399,0.8836921336921337,0.8829195177582273
steps_1_3_4,0.8759398496240601,0.8792422490320279,0.8769402321931404,0.8760551248923342
steps_2_3_4,0.8987341772151899,0.9027851933679054,0.8988636363636363,0.9000195000195
steps_1_2_3_4,0.8995433789954338,0.9024509803921568,0.900233499377335,0.8995549456974317
