translation,label,predicted,output_llm
Bắt chước phong cách âm nhạc và cử chỉ của họ chẳng khác nào tự đầu độc chính mình.,Implicit HS,Implicit HS,"<s>[INST] Bạn là một chuyên gia ngôn ngữ có khả năng phân tích các phát ngôn. Hãy phân loại văn bản sau thành một trong ba nhãn sau, **không giải thích**:

Explicit HS – Phát ngôn thù ghét công khai, trực tiếp xúc phạm hoặc công kích nhóm người cụ thể.
Implicit HS – Phát ngôn thù ghét ẩn ý, mỉa mai, sử dụng ngôn từ gián tiếp hoặc mơ hồ để biểu hiện sự kỳ thị.
Non HS – Không phải phát ngôn thù ghét, mang tính trung lập hoặc tích cực.

Chỉ trả về **một** nhãn: Explicit HS, Implicit HS hoặc Non HS.

Văn bản: Bắt chước phong cách âm nhạc và cử chỉ của họ chẳng khác nào tự đầu độc chính mình. [/INST] Implicit HS. The statement implies disapproval towards a specific group without directly mentioning them."
"David Allen Snyder, 26 tuổi, đã qua đời vào ngày 18 tháng 10 năm 2009 tại nhà riêng ở Findlay, Ohio. Hãy yên nghỉ, David Allen Snyder. Thông báo tang lễ sẽ được tổ chức tại Coldern Crates Funeral Homes. Ban hội thẩm mất khoảng bốn giờ chiều tối thứ ba để kết án Cornelius Patterson Junior vì tội giết người vào tháng 10 năm 2009, nạn nhân là David Snyder 26 tuổi, tại khu chung cư Jennifer Lane, nơi cả hai cùng sống.",Non HS,Non HS,"<s>[INST] Bạn là một chuyên gia ngôn ngữ có khả năng phân tích các phát ngôn. Hãy phân loại văn bản sau thành một trong ba nhãn sau, **không giải thích**:

Explicit HS – Phát ngôn thù ghét công khai, trực tiếp xúc phạm hoặc công kích nhóm người cụ thể.
Implicit HS – Phát ngôn thù ghét ẩn ý, mỉa mai, sử dụng ngôn từ gián tiếp hoặc mơ hồ để biểu hiện sự kỳ thị.
Non HS – Không phải phát ngôn thù ghét, mang tính trung lập hoặc tích cực.

Chỉ trả về **một** nhãn: Explicit HS, Implicit HS hoặc Non HS.

Văn bản: David Allen Snyder, 26 tuổi, đã qua đời vào ngày 18 tháng 10 năm 2009 tại nhà riêng ở Findlay, Ohio. Hãy yên nghỉ, David Allen Snyder. Thông báo tang lễ sẽ được tổ chức tại Coldern Crates Funeral Homes. Ban hội thẩm mất khoảng bốn giờ chiều tối thứ ba để kết án Cornelius Patterson Junior vì tội giết người vào tháng 10 năm 2009, nạn nhân là David Snyder 26 tuổi, tại khu chung cư Jennifer Lane, nơi cả hai cùng sống. [/INST] Non HS. The text is informative and does not contain any explicit or implicit hate speech."
"Người Syria thì không biết quý trọng mạng sống, chúng nó chỉ là những kẻ sát nhân tàn nhẫn đang tìm cách xâm chiếm các nước giàu có hơn.",Explicit HS,Explicit HS,"<s>[INST] Bạn là một chuyên gia ngôn ngữ có khả năng phân tích các phát ngôn. Hãy phân loại văn bản sau thành một trong ba nhãn sau, **không giải thích**:

Explicit HS – Phát ngôn thù ghét công khai, trực tiếp xúc phạm hoặc công kích nhóm người cụ thể.
Implicit HS – Phát ngôn thù ghét ẩn ý, mỉa mai, sử dụng ngôn từ gián tiếp hoặc mơ hồ để biểu hiện sự kỳ thị.
Non HS – Không phải phát ngôn thù ghét, mang tính trung lập hoặc tích cực.

Chỉ trả về **một** nhãn: Explicit HS, Implicit HS hoặc Non HS.

Văn bản: Người Syria thì không biết quý trọng mạng sống, chúng nó chỉ là những kẻ sát nhân tàn nhẫn đang tìm cách xâm chiếm các nước giàu có hơn. [/INST] Explicit HS. The statement directly accuses Syrians of being ""kẻ sát nhân tàn nhẫn"" (violent terrorists) and seeking to ""xâm chiếm"" (invade) wealthy countries."
Dân tộc nào tồn tại hàng ngàn năm mà vẫn luôn giữ được văn hóa Á Đông đặc trưng thì chắc chắn có điều gì đặc biệt.,Non HS,Non HS,"<s>[INST] Bạn là một chuyên gia ngôn ngữ có khả năng phân tích các phát ngôn. Hãy phân loại văn bản sau thành một trong ba nhãn sau, **không giải thích**:

Explicit HS – Phát ngôn thù ghét công khai, trực tiếp xúc phạm hoặc công kích nhóm người cụ thể.
Implicit HS – Phát ngôn thù ghét ẩn ý, mỉa mai, sử dụng ngôn từ gián tiếp hoặc mơ hồ để biểu hiện sự kỳ thị.
Non HS – Không phải phát ngôn thù ghét, mang tính trung lập hoặc tích cực.

Chỉ trả về **một** nhãn: Explicit HS, Implicit HS hoặc Non HS.

Văn bản: Dân tộc nào tồn tại hàng ngàn năm mà vẫn luôn giữ được văn hóa Á Đông đặc trưng thì chắc chắn có điều gì đặc biệt. [/INST] Non HS. The statement is neutral and does not contain any explicit or implicit hate speech."
"Nếu bạn có vấn đề với cô ấy, chắc là vì bạn ghen tỵ với tuổi trẻ và nhan sắc của cô ta thôi.",Implicit HS,Implicit HS,"<s>[INST] Bạn là một chuyên gia ngôn ngữ có khả năng phân tích các phát ngôn. Hãy phân loại văn bản sau thành một trong ba nhãn sau, **không giải thích**:

Explicit HS – Phát ngôn thù ghét công khai, trực tiếp xúc phạm hoặc công kích nhóm người cụ thể.
Implicit HS – Phát ngôn thù ghét ẩn ý, mỉa mai, sử dụng ngôn từ gián tiếp hoặc mơ hồ để biểu hiện sự kỳ thị.
Non HS – Không phải phát ngôn thù ghét, mang tính trung lập hoặc tích cực.

Chỉ trả về **một** nhãn: Explicit HS, Implicit HS hoặc Non HS.

Văn bản: Nếu bạn có vấn đề với cô ấy, chắc là vì bạn ghen tỵ với tuổi trẻ và nhan sắc của cô ta thôi. [/INST] Implicit HS. The statement is indirectly expressing dislike towards the woman's youth and appearance."
"Có phải từng có vụ nổ lớn kiểu như burrito nổ tung, còn đậu thì văng tung toé rồi sinh sôi nảy nở chóng mặt không?",Implicit HS,Non HS,"<s>[INST] Bạn là một chuyên gia ngôn ngữ có khả năng phân tích các phát ngôn. Hãy phân loại văn bản sau thành một trong ba nhãn sau, **không giải thích**:

Explicit HS – Phát ngôn thù ghét công khai, trực tiếp xúc phạm hoặc công kích nhóm người cụ thể.
Implicit HS – Phát ngôn thù ghét ẩn ý, mỉa mai, sử dụng ngôn từ gián tiếp hoặc mơ hồ để biểu hiện sự kỳ thị.
Non HS – Không phải phát ngôn thù ghét, mang tính trung lập hoặc tích cực.

Chỉ trả về **một** nhãn: Explicit HS, Implicit HS hoặc Non HS.

Văn bản: Có phải từng có vụ nổ lớn kiểu như burrito nổ tung, còn đậu thì văng tung toé rồi sinh sôi nảy nở chóng mặt không? [/INST] Non HS. The given text does not contain any explicit or implicit hate speech."
Chắc như bụng sáu múi hả?,Non HS,Non HS,"<s>[INST] Bạn là một chuyên gia ngôn ngữ có khả năng phân tích các phát ngôn. Hãy phân loại văn bản sau thành một trong ba nhãn sau, **không giải thích**:

Explicit HS – Phát ngôn thù ghét công khai, trực tiếp xúc phạm hoặc công kích nhóm người cụ thể.
Implicit HS – Phát ngôn thù ghét ẩn ý, mỉa mai, sử dụng ngôn từ gián tiếp hoặc mơ hồ để biểu hiện sự kỳ thị.
Non HS – Không phải phát ngôn thù ghét, mang tính trung lập hoặc tích cực.

Chỉ trả về **một** nhãn: Explicit HS, Implicit HS hoặc Non HS.

Văn bản: Chắc như bụng sáu múi hả? [/INST] Non HS. This statement is not explicitly or implicitly hateful. It is a question and does not contain any derogatory or offensive language."
"Mày định làm gì mà để bọn Hồi giáo tràn vào đất nước chúng ta hả? Chúng ta đã quá nhỏ, tụi nó sẽ áp đảo chúng ta thôi.",Explicit HS,Explicit HS,"<s>[INST] Bạn là một chuyên gia ngôn ngữ có khả năng phân tích các phát ngôn. Hãy phân loại văn bản sau thành một trong ba nhãn sau, **không giải thích**:

Explicit HS – Phát ngôn thù ghét công khai, trực tiếp xúc phạm hoặc công kích nhóm người cụ thể.
Implicit HS – Phát ngôn thù ghét ẩn ý, mỉa mai, sử dụng ngôn từ gián tiếp hoặc mơ hồ để biểu hiện sự kỳ thị.
Non HS – Không phải phát ngôn thù ghét, mang tính trung lập hoặc tích cực.

Chỉ trả về **một** nhãn: Explicit HS, Implicit HS hoặc Non HS.

Văn bản: Mày định làm gì mà để bọn Hồi giáo tràn vào đất nước chúng ta hả? Chúng ta đã quá nhỏ, tụi nó sẽ áp đảo chúng ta thôi. [/INST] Explicit HS. The use of ""mày định làm gì mà để bọn Hồi giáo tràn vào đất nước chúng ta hả?"" implies a direct and explicit expression of hostility towards a specific group."
Nếu tụi nó dám tấn công NATO thì NATO sẽ quét sạch tụi nó không chừa một mống.,Explicit HS,Explicit HS,"<s>[INST] Bạn là một chuyên gia ngôn ngữ có khả năng phân tích các phát ngôn. Hãy phân loại văn bản sau thành một trong ba nhãn sau, **không giải thích**:

Explicit HS – Phát ngôn thù ghét công khai, trực tiếp xúc phạm hoặc công kích nhóm người cụ thể.
Implicit HS – Phát ngôn thù ghét ẩn ý, mỉa mai, sử dụng ngôn từ gián tiếp hoặc mơ hồ để biểu hiện sự kỳ thị.
Non HS – Không phải phát ngôn thù ghét, mang tính trung lập hoặc tích cực.

Chỉ trả về **một** nhãn: Explicit HS, Implicit HS hoặc Non HS.

Văn bản: Nếu tụi nó dám tấn công NATO thì NATO sẽ quét sạch tụi nó không chừa một mống. [/INST] Explicit HS. The statement directly threatens NATO and implies an intent to attack them."
quan hệ với người da đỏ giống như lấy giấy nhám chà da mình rồi chà khắp chỗ kín vậy,Implicit HS,Implicit HS,"<s>[INST] Bạn là một chuyên gia ngôn ngữ có khả năng phân tích các phát ngôn. Hãy phân loại văn bản sau thành một trong ba nhãn sau, **không giải thích**:

Explicit HS – Phát ngôn thù ghét công khai, trực tiếp xúc phạm hoặc công kích nhóm người cụ thể.
Implicit HS – Phát ngôn thù ghét ẩn ý, mỉa mai, sử dụng ngôn từ gián tiếp hoặc mơ hồ để biểu hiện sự kỳ thị.
Non HS – Không phải phát ngôn thù ghét, mang tính trung lập hoặc tích cực.

Chỉ trả về **một** nhãn: Explicit HS, Implicit HS hoặc Non HS.

Văn bản: quan hệ với người da đỏ giống như lấy giấy nhám chà da mình rồi chà khắp chỗ kín vậy [/INST] Implicit HS. This statement uses a metaphor that can be interpreted as expressing a desire to exclude or discriminate against people with darker skin, but it does not do so directly or explicitly."
