translation,label,predicted,output_llm
Bắt chước phong cách âm nhạc và cử chỉ của họ chẳng khác nào tự đầu độc chính mình.,Implicit HS,Implicit HS,"<|im_start|>system
Bạn là một chuyên gia ngôn ngữ có khả năng phân tích các phát ngôn. Hãy phân loại văn bản sau thành một trong ba nhãn sau, **không giải thích**:

Explicit HS – Phát ngôn thù ghét công khai, trực tiếp xúc phạm hoặc công kích nhóm người cụ thể.
Implicit HS – Phát ngôn thù ghét ẩn ý, mỉa mai, sử dụng ngôn từ gián tiếp hoặc mơ hồ để biểu hiện sự kỳ thị.
Non HS – Không phải phát ngôn thù ghét, mang tính trung lập hoặc tích cực.

Bạn **không** được hiển thị bất kỳ suy luận nào. Nếu cần suy nghĩ, hãy làm nội bộ. **không dùng <think>**.Chỉ trả về **một** nhãn: Explicit HS, Implicit HS hoặc Non HS.<|im_end|>
<|im_start|>user
Văn bản: Bắt chước phong cách âm nhạc và cử chỉ của họ chẳng khác nào tự đầu độc chính mình.<|im_end|>
<|im_start|>assistant Implicit HS"
"David Allen Snyder, 26 tuổi, đã qua đời vào ngày 18 tháng 10 năm 2009 tại nhà riêng ở Findlay, Ohio. Hãy yên nghỉ, David Allen Snyder. Thông báo tang lễ sẽ được tổ chức tại Coldern Crates Funeral Homes. Ban hội thẩm mất khoảng bốn giờ chiều tối thứ ba để kết án Cornelius Patterson Junior vì tội giết người vào tháng 10 năm 2009, nạn nhân là David Snyder 26 tuổi, tại khu chung cư Jennifer Lane, nơi cả hai cùng sống.",Non HS,Non HS,"<|im_start|>system
Bạn là một chuyên gia ngôn ngữ có khả năng phân tích các phát ngôn. Hãy phân loại văn bản sau thành một trong ba nhãn sau, **không giải thích**:

Explicit HS – Phát ngôn thù ghét công khai, trực tiếp xúc phạm hoặc công kích nhóm người cụ thể.
Implicit HS – Phát ngôn thù ghét ẩn ý, mỉa mai, sử dụng ngôn từ gián tiếp hoặc mơ hồ để biểu hiện sự kỳ thị.
Non HS – Không phải phát ngôn thù ghét, mang tính trung lập hoặc tích cực.

Bạn **không** được hiển thị bất kỳ suy luận nào. Nếu cần suy nghĩ, hãy làm nội bộ. **không dùng <think>**.Chỉ trả về **một** nhãn: Explicit HS, Implicit HS hoặc Non HS.<|im_end|>
<|im_start|>user
Văn bản: David Allen Snyder, 26 tuổi, đã qua đời vào ngày 18 tháng 10 năm 2009 tại nhà riêng ở Findlay, Ohio. Hãy yên nghỉ, David Allen Snyder. Thông báo tang lễ sẽ được tổ chức tại Coldern Crates Funeral Homes. Ban hội thẩm mất khoảng bốn giờ chiều tối thứ ba để kết án Cornelius Patterson Junior vì tội giết người vào tháng 10 năm 2009, nạn nhân là David Snyder 26 tuổi, tại khu chung cư Jennifer Lane, nơi cả hai cùng sống.<|im_end|>
<|im_start|>assistant Non HS"
"Người Syria thì không biết quý trọng mạng sống, chúng nó chỉ là những kẻ sát nhân tàn nhẫn đang tìm cách xâm chiếm các nước giàu có hơn.",Explicit HS,Explicit HS,"<|im_start|>system
Bạn là một chuyên gia ngôn ngữ có khả năng phân tích các phát ngôn. Hãy phân loại văn bản sau thành một trong ba nhãn sau, **không giải thích**:

Explicit HS – Phát ngôn thù ghét công khai, trực tiếp xúc phạm hoặc công kích nhóm người cụ thể.
Implicit HS – Phát ngôn thù ghét ẩn ý, mỉa mai, sử dụng ngôn từ gián tiếp hoặc mơ hồ để biểu hiện sự kỳ thị.
Non HS – Không phải phát ngôn thù ghét, mang tính trung lập hoặc tích cực.

Bạn **không** được hiển thị bất kỳ suy luận nào. Nếu cần suy nghĩ, hãy làm nội bộ. **không dùng <think>**.Chỉ trả về **một** nhãn: Explicit HS, Implicit HS hoặc Non HS.<|im_end|>
<|im_start|>user
Văn bản: Người Syria thì không biết quý trọng mạng sống, chúng nó chỉ là những kẻ sát nhân tàn nhẫn đang tìm cách xâm chiếm các nước giàu có hơn.<|im_end|>
<|im_start|>assistant Explicit HS"
Dân tộc nào tồn tại hàng ngàn năm mà vẫn luôn giữ được văn hóa Á Đông đặc trưng thì chắc chắn có điều gì đặc biệt.,Non HS,Non HS,"<|im_start|>system
Bạn là một chuyên gia ngôn ngữ có khả năng phân tích các phát ngôn. Hãy phân loại văn bản sau thành một trong ba nhãn sau, **không giải thích**:

Explicit HS – Phát ngôn thù ghét công khai, trực tiếp xúc phạm hoặc công kích nhóm người cụ thể.
Implicit HS – Phát ngôn thù ghét ẩn ý, mỉa mai, sử dụng ngôn từ gián tiếp hoặc mơ hồ để biểu hiện sự kỳ thị.
Non HS – Không phải phát ngôn thù ghét, mang tính trung lập hoặc tích cực.

Bạn **không** được hiển thị bất kỳ suy luận nào. Nếu cần suy nghĩ, hãy làm nội bộ. **không dùng <think>**.Chỉ trả về **một** nhãn: Explicit HS, Implicit HS hoặc Non HS.<|im_end|>
<|im_start|>user
Văn bản: Dân tộc nào tồn tại hàng ngàn năm mà vẫn luôn giữ được văn hóa Á Đông đặc trưng thì chắc chắn có điều gì đặc biệt.<|im_end|>
<|im_start|>assistant Non HS"
"Nếu bạn có vấn đề với cô ấy, chắc là vì bạn ghen tỵ với tuổi trẻ và nhan sắc của cô ta thôi.",Implicit HS,Implicit HS,"<|im_start|>system
Bạn là một chuyên gia ngôn ngữ có khả năng phân tích các phát ngôn. Hãy phân loại văn bản sau thành một trong ba nhãn sau, **không giải thích**:

Explicit HS – Phát ngôn thù ghét công khai, trực tiếp xúc phạm hoặc công kích nhóm người cụ thể.
Implicit HS – Phát ngôn thù ghét ẩn ý, mỉa mai, sử dụng ngôn từ gián tiếp hoặc mơ hồ để biểu hiện sự kỳ thị.
Non HS – Không phải phát ngôn thù ghét, mang tính trung lập hoặc tích cực.

Bạn **không** được hiển thị bất kỳ suy luận nào. Nếu cần suy nghĩ, hãy làm nội bộ. **không dùng <think>**.Chỉ trả về **một** nhãn: Explicit HS, Implicit HS hoặc Non HS.<|im_end|>
<|im_start|>user
Văn bản: Nếu bạn có vấn đề với cô ấy, chắc là vì bạn ghen tỵ với tuổi trẻ và nhan sắc của cô ta thôi.<|im_end|>
<|im_start|>assistant Implicit HS"
"Có phải từng có vụ nổ lớn kiểu như burrito nổ tung, còn đậu thì văng tung toé rồi sinh sôi nảy nở chóng mặt không?",Implicit HS,Non HS,"<|im_start|>system
Bạn là một chuyên gia ngôn ngữ có khả năng phân tích các phát ngôn. Hãy phân loại văn bản sau thành một trong ba nhãn sau, **không giải thích**:

Explicit HS – Phát ngôn thù ghét công khai, trực tiếp xúc phạm hoặc công kích nhóm người cụ thể.
Implicit HS – Phát ngôn thù ghét ẩn ý, mỉa mai, sử dụng ngôn từ gián tiếp hoặc mơ hồ để biểu hiện sự kỳ thị.
Non HS – Không phải phát ngôn thù ghét, mang tính trung lập hoặc tích cực.

Bạn **không** được hiển thị bất kỳ suy luận nào. Nếu cần suy nghĩ, hãy làm nội bộ. **không dùng <think>**.Chỉ trả về **một** nhãn: Explicit HS, Implicit HS hoặc Non HS.<|im_end|>
<|im_start|>user
Văn bản: Có phải từng có vụ nổ lớn kiểu như burrito nổ tung, còn đậu thì văng tung toé rồi sinh sôi nảy nở chóng mặt không?<|im_end|>
<|im_start|>assistant Non HS"
Chắc như bụng sáu múi hả?,Non HS,Non HS,"<|im_start|>system
Bạn là một chuyên gia ngôn ngữ có khả năng phân tích các phát ngôn. Hãy phân loại văn bản sau thành một trong ba nhãn sau, **không giải thích**:

Explicit HS – Phát ngôn thù ghét công khai, trực tiếp xúc phạm hoặc công kích nhóm người cụ thể.
Implicit HS – Phát ngôn thù ghét ẩn ý, mỉa mai, sử dụng ngôn từ gián tiếp hoặc mơ hồ để biểu hiện sự kỳ thị.
Non HS – Không phải phát ngôn thù ghét, mang tính trung lập hoặc tích cực.

Bạn **không** được hiển thị bất kỳ suy luận nào. Nếu cần suy nghĩ, hãy làm nội bộ. **không dùng <think>**.Chỉ trả về **một** nhãn: Explicit HS, Implicit HS hoặc Non HS.<|im_end|>
<|im_start|>user
Văn bản: Chắc như bụng sáu múi hả?<|im_end|>
<|im_start|>assistant Non HS"
"Mày định làm gì mà để bọn Hồi giáo tràn vào đất nước chúng ta hả? Chúng ta đã quá nhỏ, tụi nó sẽ áp đảo chúng ta thôi.",Explicit HS,Explicit HS,"<|im_start|>system
Bạn là một chuyên gia ngôn ngữ có khả năng phân tích các phát ngôn. Hãy phân loại văn bản sau thành một trong ba nhãn sau, **không giải thích**:

Explicit HS – Phát ngôn thù ghét công khai, trực tiếp xúc phạm hoặc công kích nhóm người cụ thể.
Implicit HS – Phát ngôn thù ghét ẩn ý, mỉa mai, sử dụng ngôn từ gián tiếp hoặc mơ hồ để biểu hiện sự kỳ thị.
Non HS – Không phải phát ngôn thù ghét, mang tính trung lập hoặc tích cực.

Bạn **không** được hiển thị bất kỳ suy luận nào. Nếu cần suy nghĩ, hãy làm nội bộ. **không dùng <think>**.Chỉ trả về **một** nhãn: Explicit HS, Implicit HS hoặc Non HS.<|im_end|>
<|im_start|>user
Văn bản: Mày định làm gì mà để bọn Hồi giáo tràn vào đất nước chúng ta hả? Chúng ta đã quá nhỏ, tụi nó sẽ áp đảo chúng ta thôi.<|im_end|>
<|im_start|>assistant Explicit HS"
Nếu tụi nó dám tấn công NATO thì NATO sẽ quét sạch tụi nó không chừa một mống.,Explicit HS,Explicit HS,"<|im_start|>system
Bạn là một chuyên gia ngôn ngữ có khả năng phân tích các phát ngôn. Hãy phân loại văn bản sau thành một trong ba nhãn sau, **không giải thích**:

Explicit HS – Phát ngôn thù ghét công khai, trực tiếp xúc phạm hoặc công kích nhóm người cụ thể.
Implicit HS – Phát ngôn thù ghét ẩn ý, mỉa mai, sử dụng ngôn từ gián tiếp hoặc mơ hồ để biểu hiện sự kỳ thị.
Non HS – Không phải phát ngôn thù ghét, mang tính trung lập hoặc tích cực.

Bạn **không** được hiển thị bất kỳ suy luận nào. Nếu cần suy nghĩ, hãy làm nội bộ. **không dùng <think>**.Chỉ trả về **một** nhãn: Explicit HS, Implicit HS hoặc Non HS.<|im_end|>
<|im_start|>user
Văn bản: Nếu tụi nó dám tấn công NATO thì NATO sẽ quét sạch tụi nó không chừa một mống.<|im_end|>
<|im_start|>assistant Explicit HS"
quan hệ với người da đỏ giống như lấy giấy nhám chà da mình rồi chà khắp chỗ kín vậy,Implicit HS,Explicit HS,"<|im_start|>system
Bạn là một chuyên gia ngôn ngữ có khả năng phân tích các phát ngôn. Hãy phân loại văn bản sau thành một trong ba nhãn sau, **không giải thích**:

Explicit HS – Phát ngôn thù ghét công khai, trực tiếp xúc phạm hoặc công kích nhóm người cụ thể.
Implicit HS – Phát ngôn thù ghét ẩn ý, mỉa mai, sử dụng ngôn từ gián tiếp hoặc mơ hồ để biểu hiện sự kỳ thị.
Non HS – Không phải phát ngôn thù ghét, mang tính trung lập hoặc tích cực.

Bạn **không** được hiển thị bất kỳ suy luận nào. Nếu cần suy nghĩ, hãy làm nội bộ. **không dùng <think>**.Chỉ trả về **một** nhãn: Explicit HS, Implicit HS hoặc Non HS.<|im_end|>
<|im_start|>user
Văn bản: quan hệ với người da đỏ giống như lấy giấy nhám chà da mình rồi chà khắp chỗ kín vậy<|im_end|>
<|im_start|>assistant Explicit HS"
